RecordID,AQI,PM10,PM2_5,NO2,SO2,O3,Temperature,Humidity,WindSpeed,RespiratoryCases,CardiovascularCases,HospitalAdmissions,HealthImpactScore,HealthImpactClass
1,187.27,295.85,13.04,6.64,66.16,54.62,5.15,84.42,6.14,7,5,1,97.24,0.00
2,475.36,246.25,9.98,16.32,90.50,169.62,1.54,46.85,4.52,10,2,0,100.00,0.00
3,366.00,84.44,23.11,96.32,17.88,9.01,1.17,17.81,11.16,13,3,0,100.00,0.00
4,299.33,21.02,14.27,81.23,48.32,93.16,21.93,99.47,15.30,8,8,1,100.00,0.00
5,78.01,16.99,152.11,121.24,90.87,241.80,9.22,24.91,14.53,9,0,1,95.18,0.00
6,78.00,36.11,97.11,87.77,32.26,137.00,-1.44,32.64,4.68,13,5,2,70.36,1.00
7,29.04,174.23,68.58,186.82,96.77,44.98,34.38,24.68,6.61,10,2,2,65.82,1.00
8,433.09,278.63,83.67,106.95,9.71,131.57,33.71,40.37,17.38,11,8,1,100.00,0.00
9,300.56,149.02,185.79,138.75,90.27,59.41,33.12,36.04,14.46,8,6,4,100.00,0.00
10,354.04,252.88,182.15,179.30,44.52,117.96,9.54,64.10,14.25,13,5,1,100.00,0.00
11,10.29,133.77,143.14,29.37,7.37,146.35,-7.15,99.68,5.38,9,7,4,63.12,1.00
12,484.95,212.58,176.94,45.95,87.95,104.87,-4.66,14.73,15.84,8,4,1,100.00,0.00
13,416.22,219.56,63.93,21.46,25.19,281.09,3.80,80.06,7.17,11,2,2,100.00,0.00
14,106.17,52.19,76.22,27.93,2.23,168.76,1.00,21.52,8.03,8,4,0,71.64,1.00
15,90.91,108.36,122.74,102.52,13.58,252.87,33.70,11.79,5.75,10,3,2,96.90,0.00
16,91.70,191.19,124.73,64.24,65.91,228.22,39.32,67.47,2.43,13,3,2,100.00,0.00
17,152.12,21.21,96.34,84.63,97.78,198.35,30.83,88.60,8.41,13,11,1,98.25,0.00
18,262.38,108.46,80.13,196.50,11.15,149.07,26.49,25.87,0.34,8,2,0,100.00,0.00
19,215.97,160.44,197.24,31.34,46.19,0.65,19.43,40.75,9.12,7,3,1,100.00,0.00
20,145.61,298.87,164.22,108.16,18.06,184.04,28.50,25.19,14.50,12,5,3,100.00,0.00
21,305.93,142.36,87.00,19.77,74.50,106.79,37.35,91.59,19.21,10,7,3,100.00,0.00
22,69.75,244.82,145.46,63.70,11.81,35.33,20.07,34.33,1.57,9,5,0,83.91,0.00
23,146.07,129.62,53.91,105.51,23.98,133.39,-2.27,50.02,5.63,14,0,2,92.49,0.00
24,183.18,238.92,20.03,189.33,19.64,220.67,-1.81,90.53,9.88,9,5,0,100.00,0.00
25,228.03,178.62,70.49,78.25,55.25,288.50,19.19,59.76,3.41,7,9,3,100.00,0.00
26,392.59,265.98,80.59,12.98,87.32,112.23,6.67,93.96,2.34,18,4,0,100.00,0.00
27,99.84,123.28,3.31,77.63,51.11,162.82,35.51,93.38,9.05,5,9,2,67.31,1.00
28,257.12,181.29,162.96,29.15,5.82,255.37,20.58,51.54,11.61,8,4,2,100.00,0.00
29,296.21,189.01,71.84,46.00,56.34,100.20,23.82,62.41,16.40,4,5,3,100.00,0.00
30,23.23,125.21,116.08,123.62,79.75,42.68,-9.71,30.73,19.96,9,8,3,62.81,1.00
31,303.77,43.29,14.79,13.48,13.22,84.56,14.94,99.15,15.49,14,5,0,100.00,0.00
32,85.26,28.07,35.00,92.94,7.27,269.74,11.56,35.05,4.43,11,1,2,71.22,1.00
33,32.53,5.00,177.94,121.89,18.78,47.82,25.29,80.50,14.96,6,3,2,61.74,1.00
34,474.44,262.06,121.74,84.37,74.61,98.77,9.13,38.17,10.74,9,8,4,100.00,0.00
35,482.82,70.94,190.06,3.83,59.17,139.39,38.83,38.17,9.02,12,3,2,100.00,0.00
36,404.20,63.45,199.75,197.10,54.06,254.13,23.51,19.35,18.71,13,6,1,100.00,0.00
37,152.31,220.81,74.37,73.42,24.95,281.31,23.00,60.39,14.04,9,1,3,100.00,0.00
38,48.84,96.00,59.76,155.72,33.22,127.74,35.97,32.03,13.63,13,2,4,63.73,1.00
39,342.12,151.81,171.67,65.13,96.59,279.59,39.76,23.36,0.24,11,2,1,100.00,0.00
40,220.08,48.75,199.72,95.00,24.06,48.44,-0.11,30.40,17.30,13,8,3,100.00,0.00
41,61.02,287.92,125.93,77.69,90.16,47.06,30.53,32.60,15.87,12,13,2,86.95,0.00
42,247.59,255.47,159.03,68.51,58.05,284.78,-1.88,55.37,5.98,6,4,3,100.00,0.00
43,17.19,259.14,156.35,4.37,12.33,152.90,12.85,44.73,5.84,8,3,2,77.75,1.00
44,454.66,122.03,71.07,72.00,46.73,55.77,-4.99,16.79,1.07,13,3,3,100.00,0.00
45,129.39,228.71,114.85,177.90,94.85,146.40,21.17,58.24,1.02,12,3,4,100.00,0.00
46,331.26,43.16,166.61,138.08,41.86,234.96,13.43,80.90,13.37,11,5,2,100.00,0.00
47,155.86,2.59,137.62,29.08,86.34,248.08,21.43,61.68,3.72,6,8,1,100.00,0.00
48,260.03,5.99,4.23,118.23,25.64,259.19,23.90,97.71,18.47,8,3,3,100.00,0.00
49,273.36,175.98,67.34,178.45,57.09,170.87,20.97,18.92,16.85,8,6,1,100.00,0.00
50,92.43,136.62,28.90,140.01,84.39,260.08,4.70,83.90,6.98,16,6,5,90.81,0.00
51,484.79,155.40,46.59,29.74,92.07,153.01,31.85,55.51,7.60,14,6,1,100.00,0.00
52,387.57,2.24,181.10,173.57,48.58,182.12,17.58,56.94,6.55,7,7,2,100.00,0.00
53,469.75,126.81,7.38,60.31,63.97,227.62,14.49,56.72,1.85,8,4,2,100.00,0.00
54,447.41,215.42,43.96,90.82,0.30,127.63,39.35,39.28,0.63,6,7,1,100.00,0.00
55,298.95,132.81,61.91,105.23,25.32,22.07,4.18,39.21,9.04,11,4,3,100.00,0.00
56,460.94,219.67,123.38,170.10,27.87,105.05,16.40,66.87,18.86,10,5,1,100.00,0.00
57,44.25,69.91,106.82,186.32,9.35,187.18,24.12,14.03,18.34,8,5,2,77.32,1.00
58,97.99,243.94,43.65,185.93,27.97,57.70,-3.74,62.99,16.20,7,5,5,87.66,0.00
59,22.61,176.53,32.85,1.59,32.11,44.52,7.71,75.21,12.57,11,9,4,36.21,3.00
60,162.67,63.23,47.36,184.38,96.88,87.92,30.08,42.07,17.12,7,4,0,94.31,0.00
61,194.34,71.02,100.51,10.88,66.86,9.63,1.84,29.56,10.30,10,4,1,90.29,0.00
62,135.67,188.41,54.24,53.15,42.60,223.03,14.66,29.20,3.60,10,4,3,99.23,0.00
63,414.37,248.98,189.52,103.00,98.81,77.61,21.53,17.37,13.68,13,6,1,100.00,0.00
64,178.38,124.69,92.77,95.99,15.32,37.27,23.56,18.07,18.41,6,4,2,96.53,0.00
65,140.47,77.49,11.76,120.94,47.61,209.74,26.42,25.00,0.39,9,7,1,86.35,0.00
66,271.35,260.10,145.85,95.89,64.71,252.88,33.30,11.73,5.03,13,4,2,100.00,0.00
67,70.46,200.78,65.77,186.88,5.56,5.96,9.64,33.96,5.31,11,6,1,73.18,1.00
68,401.10,134.43,130.70,48.11,71.70,70.08,25.33,37.58,1.98,14,4,4,100.00,0.00
69,37.28,146.37,55.92,54.80,9.99,283.57,26.61,99.57,4.51,6,8,1,69.78,1.00
70,493.44,61.28,114.15,184.15,14.03,115.58,5.01,99.25,7.68,9,0,1,100.00,0.00
71,386.12,188.04,154.43,15.35,15.97,281.58,38.41,26.83,18.80,5,6,3,100.00,0.00
72,99.36,107.62,185.60,121.91,92.89,82.26,33.26,29.17,17.21,11,8,3,100.00,0.00
73,2.76,298.69,52.23,136.35,68.32,65.42,4.49,54.27,18.92,13,5,2,63.57,1.00
74,407.73,144.06,66.97,101.11,65.54,64.23,23.75,23.39,2.41,8,7,1,100.00,0.00
